ID,lat,long
IL3A26,68.906,-133.497
IL3A34,68.906,-133.497
TL3A5,68.74,-133.522
TL3A11,68.74,-133.523
TL3A24,68.73963503,-133.522749
TD1A7,68.755,-133.463
TL3A28,68.74,-133.522
TL3A31,68.74,-133.522
TL3A34,68.74,-133.522
A096,68.565,-133.742
A106,68.565,-133.742
A113,68.565,-133.742
A129,68.565,-133.742
A194,68.556,-133.776
A214,68.556,-133.777
A222,68.556,-133.777
A228,68.556,-133.776
A253,68.678,-133.583
A274,69.244,-132.904
A286,69.244,-132.904
A314,69.267,-132.907
A320,69.267,-132.906
A336,69.267,-132.906
A386,69.345,-133.046
A474,69.315,-133.002
A489,69.315,-133.002
A510,69.25,-132.902
A526,69.25,-132.902
A530,69.25,-132.902
A532,69.25,-132.902
A541,69.251,-132.904
A543,69.251,-132.904
A562,69.25,-132.905
A582,69.25,-132.895
A593,69.25,-132.895
A599,69.25,-132.895
A604,69.25,-132.895
A830,68.796,-133.532
A846,68.796,-133.531
A847,68.796,-133.53
A1011,68.564,-133.742
A1042,68.836,-133.562
A1041,68.777,-133.541
A1082,69.199,-132.931
A1106,68.906,-133.498
A1114,69.011,-133.314
A1116,69.017,-133.27
A1117,69.143,-133.037
A1124,69.042,-133.208
A1126,69.143,-133.037
A1133,69.359,-133.042
A1892,68.863,-133.558
